Año,Anfitrion,Equipo1,Marcador,Equipo2
1930,Uruguay,Uruguay,4-2,Argentina
1934,Italia,Italia,2-1 prorroga,Checoslovaquia
1938,Francia,Italia,4-2,Hungría
1950,Brasil,Uruguay,2-1 cuadrangular simple,Brasil
1954,Suiza,Alemania Federal,3-2,Hungría
1958,Suecia,Brasil,5-2,Suecia
1962,Chile,Brasil,3-1,Checoslovaquia
1966,Inglaterra,Inglaterra,4-2 prorroga,Alemania Federal
1970,México,Brasil,4-1,Italia
1974,Alemania Federal,Alemania Federal,2-1,Países Bajos
1978,Argentina,Argentina,3-1 prorroga,Países Bajos
1982,España,ITalia,3-1,Alemania Federal
1986,México,Argentina,3-2,Alemania Federal
1990,Italia,Alemania Federal,1-0,Argentina
1994,Estados Unidos,Brasil,0-0 3-2 penales,Italia
1998,Francia,Francia,3-0,Brasil
2002,Corea del Sur y Japón,Brasil,2-0,Alemania
2006,Alemania,Italia,1-1 5-3 penales,Francia
2010,Sudáfrica,España,1-0 prorroga,Paises Bajos
2014,Brasil,Alemania,1-0 prorroga,Argentina
2018,Rusia,Francia,4-2,Croacia
2022,Qatar,Argentina,3-3 4-2 penales,Francia
