Año,Equipo1,Pais1,Marcador1,Marcador2,Marcador3,Equipo2,Pais2
1960,Peñarol,Uruguay,1:0,1:1,,Olimpia,Paraguay
1961,Peñarol,Uruguay,1:0,1:1,,Palmeiras,Brasil
1962,Santos,Brasil,2:1,2:3,3:0,Peñarol,Uruguay
1963,Santos,Brasil,3:2,2:1,,Boca Juniors,Argentina
1964,Independiente,Argentina,0:0,1:0,,Nacional,Uruguay
1965,Independiente,Argentina,1:0,1:3,4:1,Peñarol,Uruguay
1966,Peñarol,Uruguay,2:0,2:3,4:2 (t.s.),River Plate,Argentina
1967,Racing Club,Argentina,0:0,0:0,2:1,Nacional,Uruguay
1968,Estudiantes,Argentina,2:1,1:3,2:0,Palmeiras,Brasil
1969,Estudiantes,Argentina,1:0,2:0,,Nacional,Uruguay
1970,Estudiantes,Argentina,1:0,0:0,,Peñarol,Uruguay
1971,Nacional,Uruguay,0:1,1:0,2:0,Estudiantes,Argentina
1972,Independiente,Argentina,0:0,2:1,,Universitario,Perú
1973,Independiente,Argentina,1:1,0:0,2:1,Colo-Colo,Chile
1974,Independiente,Argentina,1:2,2:0,1:0,São Paulo,Brasil
1975,Independiente,Argentina,0:1,3:1,2:0,Unión Española,Chile
1976,Cruzeiro,Brasil,4:1,1:2,3:2,River Plate,Argentina
1977,Boca Juniors,Argentina,1:0,0:1,0:0 (t.s.) (5:4 pen.),Cruzeiro,Brasil
1978,Boca Juniors,Argentina,0:0,4:0,,Deportivo Cali,Colombia
1979,Olimpia,Paraguay,2:0,0:0,,Boca Juniors,Argentina
1980,Nacional,Uruguay,0:0,1:0,,Internacional,Brasil
1981,Flamengo,Brasil,2:1,0:1,2:0,Cobreloa,Chile
1982,Peñarol,Uruguay,0:0,1:0,,Cobreloa,Chile
1983,Grêmio,Brasil,1:1,2:1,,Peñarol,Uruguay
1984,Independiente,Argentina,1:0,0:0,,Grêmio,Brasil
1985,Argentinos Juniors,Argentina,0:1,1:0,1:1 (t.s.) (5:4 pen.),América de Cali,Colombia
1986,River Plate,Argentina,2:1,1:0,,América de Cali,Colombia
1987,Peñarol,Uruguay,0:2,2:1,1:0 (t.s.),América de Cali,Colombia
1988,Nacional,Uruguay,0:1,3:0 (t.s.),,Newell's Old Boys,Argentina
1989,Atlético Nacional,Colombia,0:2,2:0 (5:4 pen.),,Olimpia,Paraguay
1990,Olimpia,Paraguay,2:0,1:1,,Barcelona,Ecuador
1991,Colo-Colo,Chile,0:0,3:0,,Olimpia,Paraguay
1992,São Paulo,Brasil,0:1,1:0 (3:2 pen.),,Newell's Old Boys,Argentina
1993,São Paulo,Brasil,5:1,0:2,,Universidad Católica,Chile
1994,Vélez Sarsfield,Argentina,1:0,0:1 (5:3 pen.),,São Paulo,Brasil
1995,Grêmio,Brasil,3:1,1:1,,Atlético Nacional,Colombia
1996,River Plate,Argentina,0:1,2:0,,América de Cali,Colombia
1997,Cruzeiro,Brasil,0:0,1:0,,Sporting Cristal,Perú
1998,Vasco da Gama,Brasil,2:0,2:1,,Barcelona,Ecuador
1999,Palmeiras,Brasil,0:1,2:1 (4:3 pen.),,Deportivo Cali,Colombia
2000,Boca Juniors,Argentina,2:2,0:0 (4:2 pen.),,Palmeiras,Brasil
2001,Boca Juniors,Argentina,1:0,0:1 (3:1 pen.),,Cruz Azul,México
2002,Olimpia,Paraguay,0:1,2:1 (4:2 pen.),,São Caetano,Brasil
2003,Boca Juniors,Argentina,2:0,3:1,,Santos,Brasil
2004,Once Caldas,Colombia,0:0,1:1 (2:0 pen.),,Boca Juniors,Argentina
2005,São Paulo,Brasil,1:1,4:0,,Atlético Paranaense,Brasil
2006,Internacional,Brasil,2:1,2:2,,São Paulo,Brasil
2007,Boca Juniors,Argentina,3:0,2:0,,Grêmio,Brasil
2008,Liga de Quito,Ecuador,4:2,1:3 (t.s.) (3:1 pen.),,Fluminense,Brasil
2009,Estudiantes,Argentina,0:0,2:1,,Cruzeiro,Brasil
2010,Internacional,Brasil,2:1,3:2,,Guadalajara,México
2011,Santos,Brasil,0:0,2:1,,Peñarol,Uruguay
2012,Corinthians,Brasil,1:1,2:0,,Boca Juniors,Argentina
2013,Atlético Mineiro,Brasil,0:2,2:0 (t.s.) (4:3 pen.),,Olimpia,Paraguay
2014,San Lorenzo,Argentina,1:1,1:0,,Nacional,Paraguay
2015,River Plate,Argentina,0:0,3:0,,Tigres,México
2016,Atlético Nacional,Colombia,1:1,1:0,,Independiente del Valle,Ecuador
2017,Grêmio,Brasil,1:0,2:1,,Lanús,Argentina
2018,River Plate,Argentina,2:2,3:1 (t.s.),,Boca Juniors,Argentina
2019,Flamengo,Brasil,2:1,,,River Plate,Argentina
2020,Palmeiras,Brasil,1:0,,,Santos,Brasil
2021,Palmeiras,Brasil,2:1 (t.s.),,,Flamengo,Brasil
2022,Flamengo,Brasil,1:0,,,Athletico Paranaense,Brasil
2023,Fluminense,Brasil,2:1 (t.s.),,,Boca Juniors,Argentina
